sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
584,584,ТАБУРЕТ,STOOL,7,,n,2058,"Стул без спинки. Так как исторически стулья и табуреты использовались нечасто, следует указывать слово для традиционного вида табурета.","Same as chair, but without the backrest. Since historically people seldom sat on chairs or stools, use the term for a traditional type of stool here.",У табурета три ножки и нет спинки.,The stool has three legs and no backrest.,354,0,0,final,
585,585,СТОЛ,TABLE,7,,n,1775,"Предмет мебели, состоящий (минимально) из плоской горизонтальной поверхности (столешницы) и четырёх ножек; используется для еды.",A piece of furtniture that consist of a flat horizontal surface (tabletop) and four legs; used for serving food and eating meals,Еду кладут на стол.,Food is placed on the table.,0,0,0,final,see whether 3-legged tables might be included
586,586,ЛАМПА,LAMP,7,,n,2131,"Переносной предмет освещения, имеющий стеклянное покрытие и работающий от топлива (масла, керосина).","A portable lighting device that has a glass covering and uses fuel for burning (oil, kerosene),",Вечером зажигают лампу.,,0,0,0,final,
587,587,СВЕЧА,CANDLE,7,,n,1273,"Источник света, состоящий из фитиля внутри твёрдого, воспламеняевого предмета, такого как воск, жир или парафин. (Concepticon)","A light source consisting of a wick embedded in a solid, flammable substance such as wax, tallow, or paraffin. ","1. Свечи делают из воска. 2. Когда нет света, зажигают свечу.","1. Candles are made out of wax. 2. When there is no light, we burn candles.",0,0,0,final,
588,588,ЖЕЛОБ,GUTTER,7,,n,0,"Труба, по которой вода стекает с крыши.",The pipe through which water flows down from the roof,Раньше у каждой крыши был жёлоб.,All roofs used to have a gutter.,391,0,0,final,
589,589,ЖЕЛОБ ДЛЯ ЗЕРНА НА МЕЛЬНИЦЕ,GUTTER FOR GRAIN AT MILL,7,opt,n,,,,,,0,0,0,final,
590,590,ЖЕЛОБ ДЛЯ ВОДЫ НА МЕЛЬНИЦЕ,GUTTER FOR WATER AT MILL,7,opt,n,,,,,,0,0,0,final,
591,591,КРЫША,ROOF,7,,n,769,"Структура, закрывающая здание сверху. (Concepticon)",The structure covering a building. (Concepticon),"1. Когда выпадает снег, очищают крышу. 2. У дома есть стены и крыша.","1. When snow falls, roof are cleaned. 2. Any house has walls and a roof.",381,0,0,final,
592,592,БАЛКА,BEAM,7,,n,1132,"Продолговатый кусок дерева, поддерживающий крышу.",A longish peace  of wood that supports the roof.,1. Балки ставятся на перекладину. 2. Балки держат потолок.,,378,0,0,final,
593,593,СТОЛБ ОПОРНЫЙ,WALLPOST,7,,n,281,"Толстый вертикальный кусок дерева, упирающийся в пол и поддерживающий потолок.",A thick vertical piece of wood that is embedded inside the floor and supports the ceiling.,1. Под перекладину ставят столб. 2. Столб поддерживает стены.,1. The wallpost is placed under the beam. 2. The wallpost supports the ceiling.,377,0,0,final,
594,594,ДОСКА,BOARD,7,,n,1227,"Кусок дерева стандартной формы, используемый в строительстве.",A standard-sized piece of wood used in construction.,Из досок делают окна.,Windows are made out of boards.,380,0,0,final,
595,595,КАТОК ДЛЯ КРЫШИ,ROOF ROLLER,7,,n,0,"Инструмент, используемый для укладки земляной крыши.",The instrument used for evening out the earth roof.,После дождя крышу укатывают катком.,After a rain we strengthen the roof using the roller.,312,0,0,final,
596,597,ЖЕРДЬ (ДЛЯ НАСТИЛА ПОТОЛКА),POLE (FOR CEILING),7,,n,0,"Тонкие куски дерева, на которых держится земляной потолок.",Short pieces of wood that support the earth ceiling.,Жерди ставятся на балки.,Poles are above the beams.,379,0,0,final,
597,598,ПЛИТА ДЛЯ УКРЕПЛЕНИЯ КРАЕВ КРЫШИ,SLAB FOR ROOF,7,,n,0,"Предмет, которым укрепляют края крыши. Чаще всего каменная, но может быть и деревянной.","The object that strengthens the corners of a room. Most often made of stone, but sometimes made of wood.",На край крыши ставят каменные/деревянные плиты.,Stone / wooden slabs are placed at the corners of roofs.,382,0,0,final,
